frame.time_relative,frame.time_delta,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,udp.length
0.000000000,0.000000000,74,127.0.0.1,127.0.0.1,45944,8000,0x0002,
0.000042666,0.000042666,74,127.0.0.1,127.0.0.1,8000,45944,0x0012,
0.000059957,0.000017291,66,127.0.0.1,127.0.0.1,45944,8000,0x0010,
0.000145622,0.000085665,163,127.0.0.1,127.0.0.1,45944,8000,0x0018,
0.000152080,0.000006458,66,127.0.0.1,127.0.0.1,8000,45944,0x0010,
0.003027641,0.002875561,222,127.0.0.1,127.0.0.1,8000,45944,0x0018,
0.003091806,0.000064165,66,127.0.0.1,127.0.0.1,45944,8000,0x0010,
0.003125013,0.000033207,1711,127.0.0.1,127.0.0.1,8000,45944,0x0018,
0.003129638,0.000004625,66,127.0.0.1,127.0.0.1,45944,8000,0x0010,
0.003162346,0.000032708,66,127.0.0.1,127.0.0.1,8000,45944,0x0011,
0.003192720,0.000030374,66,127.0.0.1,127.0.0.1,45944,8000,0x0011,
0.003229428,0.000036708,66,127.0.0.1,127.0.0.1,8000,45944,0x0010,
0.018462795,0.015233367,74,127.0.0.1,127.0.0.1,45948,8000,0x0002,
0.018499169,0.000036374,74,127.0.0.1,127.0.0.1,8000,45948,0x0012,
0.018511877,0.000012708,66,127.0.0.1,127.0.0.1,45948,8000,0x0010,
0.018579875,0.000067998,163,127.0.0.1,127.0.0.1,45948,8000,0x0018,
0.018584500,0.000004625,66,127.0.0.1,127.0.0.1,8000,45948,0x0010,
0.019720683,0.001136183,222,127.0.0.1,127.0.0.1,8000,45948,0x0018,
0.019737891,0.000017208,66,127.0.0.1,127.0.0.1,45948,8000,0x0010,
0.019759682,0.000021791,1711,127.0.0.1,127.0.0.1,8000,45948,0x0018,
0.019763474,0.000003792,66,127.0.0.1,127.0.0.1,45948,8000,0x0010,
0.019790140,0.000026666,66,127.0.0.1,127.0.0.1,8000,45948,0x0011,
0.019815348,0.000025208,66,127.0.0.1,127.0.0.1,45948,8000,0x0011,
0.019828722,0.000013374,66,127.0.0.1,127.0.0.1,8000,45948,0x0010,
0.028057454,0.008228732,74,127.0.0.1,127.0.0.1,45954,8000,0x0002,
0.028070746,0.000013292,74,127.0.0.1,127.0.0.1,8000,45954,0x0012,
0.028078996,0.000008250,66,127.0.0.1,127.0.0.1,45954,8000,0x0010,
0.028129994,0.000050998,163,127.0.0.1,127.0.0.1,45954,8000,0x0018,
0.028133619,0.000003625,66,127.0.0.1,127.0.0.1,8000,45954,0x0010,
0.029571087,0.001437468,222,127.0.0.1,127.0.0.1,8000,45954,0x0018,
0.029592545,0.000021458,66,127.0.0.1,127.0.0.1,45954,8000,0x0010,
0.029608170,0.000015625,1711,127.0.0.1,127.0.0.1,8000,45954,0x0018,
0.029610878,0.000002708,66,127.0.0.1,127.0.0.1,45954,8000,0x0010,
0.029630628,0.000019750,66,127.0.0.1,127.0.0.1,8000,45954,0x0011,
0.029650877,0.000020249,66,127.0.0.1,127.0.0.1,45954,8000,0x0011,
0.029660627,0.000009750,66,127.0.0.1,127.0.0.1,8000,45954,0x0010,
0.034608849,0.004948222,74,127.0.0.1,127.0.0.1,45958,8000,0x0002,
0.034618057,0.000009208,74,127.0.0.1,127.0.0.1,8000,45958,0x0012,
0.034624516,0.000006459,66,127.0.0.1,127.0.0.1,45958,8000,0x0010,
0.034667390,0.000042874,163,127.0.0.1,127.0.0.1,45958,8000,0x0018,
0.034670181,0.000002791,66,127.0.0.1,127.0.0.1,8000,45958,0x0010,
0.035538037,0.000867856,222,127.0.0.1,127.0.0.1,8000,45958,0x0018,
0.035552286,0.000014249,66,127.0.0.1,127.0.0.1,45958,8000,0x0010,
0.035570828,0.000018542,1711,127.0.0.1,127.0.0.1,8000,45958,0x0018,
0.035573869,0.000003041,66,127.0.0.1,127.0.0.1,45958,8000,0x0010,
0.035613827,0.000039958,66,127.0.0.1,127.0.0.1,8000,45958,0x0011,
0.035618452,0.000004625,66,127.0.0.1,127.0.0.1,45958,8000,0x0011,
0.035622910,0.000004458,66,127.0.0.1,127.0.0.1,8000,45958,0x0010,
0.035625701,0.000002791,66,127.0.0.1,127.0.0.1,45958,8000,0x0010,
0.042161680,0.006535979,74,127.0.0.1,127.0.0.1,45966,8000,0x0002,
0.042175430,0.000013750,74,127.0.0.1,127.0.0.1,8000,45966,0x0012,
0.042182721,0.000007291,66,127.0.0.1,127.0.0.1,45966,8000,0x0010,
0.042252345,0.000069624,163,127.0.0.1,127.0.0.1,45966,8000,0x0018,
0.042255303,0.000002958,66,127.0.0.1,127.0.0.1,8000,45966,0x0010,
0.043244781,0.000989478,222,127.0.0.1,127.0.0.1,8000,45966,0x0018,
0.043258197,0.000013416,66,127.0.0.1,127.0.0.1,45966,8000,0x0010,
0.043270947,0.000012750,1711,127.0.0.1,127.0.0.1,8000,45966,0x0018,
0.043273280,0.000002333,66,127.0.0.1,127.0.0.1,45966,8000,0x0010,
0.043289113,0.000015833,66,127.0.0.1,127.0.0.1,8000,45966,0x0011,
0.043310821,0.000021708,66,127.0.0.1,127.0.0.1,45966,8000,0x0011,
0.043320446,0.000009625,66,127.0.0.1,127.0.0.1,8000,45966,0x0010,
0.049475891,0.006155445,74,127.0.0.1,127.0.0.1,45978,8000,0x0002,
0.049484432,0.000008541,74,127.0.0.1,127.0.0.1,8000,45978,0x0012,
0.049490807,0.000006375,66,127.0.0.1,127.0.0.1,45978,8000,0x0010,
