flow_id,src_ip,src_port,dst_ip,dst_port,protocol,packet_count,bytes_total,bytes_mean,bytes_std,bytes_min,bytes_max,iat_mean,iat_std,iat_min,iat_max,first_seen,last_seen,duration,tcp_fin_count,tcp_syn_count,tcp_rst_count,tcp_psh_count,tcp_ack_count,tcp_urg_count,tcp_ece_count,tcp_cwr_count
127.0.0.1-41003-127.0.0.1-22-tcp,127.0.0.1,41003,127.0.0.1,22,tcp,1,58,58.0,0.0,58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
127.0.0.1-22-127.0.0.1-41003-tcp,127.0.0.1,22,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,2.2624e-05,0.0,2.2624e-05,2.2624e-05,2.2624e-05,2.2624e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-113-tcp,127.0.0.1,41003,127.0.0.1,113,tcp,1,58,58.0,0.0,58,58,3.9208e-05,0.0,3.9208e-05,3.9208e-05,6.1832e-05,6.1832e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-113-127.0.0.1-41003-tcp,127.0.0.1,113,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,4.541e-06,0.0,4.541e-06,4.541e-06,6.6373e-05,6.6373e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-443-tcp,127.0.0.1,41003,127.0.0.1,443,tcp,1,58,58.0,0.0,58,58,2.8333e-05,0.0,2.8333e-05,2.8333e-05,9.4706e-05,9.4706e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-443-127.0.0.1-41003-tcp,127.0.0.1,443,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,9.333e-06,0.0,9.333e-06,9.333e-06,0.000104039,0.000104039,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-445-tcp,127.0.0.1,41003,127.0.0.1,445,tcp,1,58,58.0,0.0,58,58,3.5541e-05,0.0,3.5541e-05,3.5541e-05,0.00013958,0.00013958,0.0,0,0,0,0,0,0,0,0
127.0.0.1-445-127.0.0.1-41003-tcp,127.0.0.1,445,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,9.791e-06,0.0,9.791e-06,9.791e-06,0.000149371,0.000149371,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-21-tcp,127.0.0.1,41003,127.0.0.1,21,tcp,1,58,58.0,0.0,58,58,2.1083e-05,0.0,2.1083e-05,2.1083e-05,0.000170454,0.000170454,0.0,0,0,0,0,0,0,0,0
127.0.0.1-21-127.0.0.1-41003-tcp,127.0.0.1,21,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,3.875e-06,0.0,3.875e-06,3.875e-06,0.000174329,0.000174329,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-110-tcp,127.0.0.1,41003,127.0.0.1,110,tcp,1,58,58.0,0.0,58,58,3.9333e-05,0.0,3.9333e-05,3.9333e-05,0.000213662,0.000213662,0.0,0,0,0,0,0,0,0,0
127.0.0.1-110-127.0.0.1-41003-tcp,127.0.0.1,110,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,3.791e-06,0.0,3.791e-06,3.791e-06,0.000217453,0.000217453,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-199-tcp,127.0.0.1,41003,127.0.0.1,199,tcp,1,58,58.0,0.0,58,58,2.3166e-05,0.0,2.3166e-05,2.3166e-05,0.000240619,0.000240619,0.0,0,0,0,0,0,0,0,0
127.0.0.1-199-127.0.0.1-41003-tcp,127.0.0.1,199,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,3.75e-06,0.0,3.75e-06,3.75e-06,0.000244369,0.000244369,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-53-tcp,127.0.0.1,41003,127.0.0.1,53,tcp,1,58,58.0,0.0,58,58,1.9292e-05,0.0,1.9292e-05,1.9292e-05,0.000263661,0.000263661,0.0,0,0,0,0,0,0,0,0
127.0.0.1-53-127.0.0.1-41003-tcp,127.0.0.1,53,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,3.624e-06,0.0,3.624e-06,3.624e-06,0.000267285,0.000267285,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-25-tcp,127.0.0.1,41003,127.0.0.1,25,tcp,1,58,58.0,0.0,58,58,2.1667e-05,0.0,2.1667e-05,2.1667e-05,0.000288952,0.000288952,0.0,0,0,0,0,0,0,0,0
127.0.0.1-25-127.0.0.1-41003-tcp,127.0.0.1,25,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,1.1499e-05,0.0,1.1499e-05,1.1499e-05,0.000300451,0.000300451,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-143-tcp,127.0.0.1,41003,127.0.0.1,143,tcp,1,58,58.0,0.0,58,58,3.9041e-05,0.0,3.9041e-05,3.9041e-05,0.000339492,0.000339492,0.0,0,0,0,0,0,0,0,0
127.0.0.1-143-127.0.0.1-41003-tcp,127.0.0.1,143,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,3.75e-06,0.0,3.75e-06,3.75e-06,0.000343242,0.000343242,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-139-tcp,127.0.0.1,41003,127.0.0.1,139,tcp,1,58,58.0,0.0,58,58,6.9415e-05,0.0,6.9415e-05,6.9415e-05,0.000412657,0.000412657,0.0,0,0,0,0,0,0,0,0
127.0.0.1-139-127.0.0.1-41003-tcp,127.0.0.1,139,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,4.167e-06,0.0,4.167e-06,4.167e-06,0.000416824,0.000416824,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-993-tcp,127.0.0.1,41003,127.0.0.1,993,tcp,1,58,58.0,0.0,58,58,3.0791e-05,0.0,3.0791e-05,3.0791e-05,0.000447615,0.000447615,0.0,0,0,0,0,0,0,0,0
127.0.0.1-993-127.0.0.1-41003-tcp,127.0.0.1,993,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,4.041e-06,0.0,4.041e-06,4.041e-06,0.000451656,0.000451656,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-256-tcp,127.0.0.1,41003,127.0.0.1,256,tcp,1,58,58.0,0.0,58,58,1.6875e-05,0.0,1.6875e-05,1.6875e-05,0.000468531,0.000468531,0.0,0,0,0,0,0,0,0,0
127.0.0.1-256-127.0.0.1-41003-tcp,127.0.0.1,256,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,4.083e-06,0.0,4.083e-06,4.083e-06,0.000472614,0.000472614,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-587-tcp,127.0.0.1,41003,127.0.0.1,587,tcp,1,58,58.0,0.0,58,58,2.0708e-05,0.0,2.0708e-05,2.0708e-05,0.000493322,0.000493322,0.0,0,0,0,0,0,0,0,0
127.0.0.1-587-127.0.0.1-41003-tcp,127.0.0.1,587,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,8.75e-06,0.0,8.75e-06,8.75e-06,0.000502072,0.000502072,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-995-tcp,127.0.0.1,41003,127.0.0.1,995,tcp,1,58,58.0,0.0,58,58,1.8625e-05,0.0,1.8625e-05,1.8625e-05,0.000520697,0.000520697,0.0,0,0,0,0,0,0,0,0
127.0.0.1-995-127.0.0.1-41003-tcp,127.0.0.1,995,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,1.1333e-05,0.0,1.1333e-05,1.1333e-05,0.00053203,0.00053203,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-135-tcp,127.0.0.1,41003,127.0.0.1,135,tcp,1,58,58.0,0.0,58,58,1.6249e-05,0.0,1.6249e-05,1.6249e-05,0.000548279,0.000548279,0.0,0,0,0,0,0,0,0,0
127.0.0.1-135-127.0.0.1-41003-tcp,127.0.0.1,135,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,3.834e-06,0.0,3.834e-06,3.834e-06,0.000552113,0.000552113,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-1025-tcp,127.0.0.1,41003,127.0.0.1,1025,tcp,1,58,58.0,0.0,58,58,1.2624e-05,0.0,1.2624e-05,1.2624e-05,0.000564737,0.000564737,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1025-127.0.0.1-41003-tcp,127.0.0.1,1025,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,1.875e-06,0.0,1.875e-06,1.875e-06,0.000566612,0.000566612,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-554-tcp,127.0.0.1,41003,127.0.0.1,554,tcp,1,58,58.0,0.0,58,58,1.6917e-05,0.0,1.6917e-05,1.6917e-05,0.000583529,0.000583529,0.0,0,0,0,0,0,0,0,0
127.0.0.1-554-127.0.0.1-41003-tcp,127.0.0.1,554,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,3.708e-06,0.0,3.708e-06,3.708e-06,0.000587237,0.000587237,0.0,0,0,0,0,0,0,0,0
127.0.0.1-41003-127.0.0.1-1720-tcp,127.0.0.1,41003,127.0.0.1,1720,tcp,1,58,58.0,0.0,58,58,6.666e-06,0.0,6.666e-06,6.666e-06,0.000593903,0.000593903,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1720-127.0.0.1-41003-tcp,127.0.0.1,1720,127.0.0.1,41003,tcp,1,54,54.0,0.0,54,54,1.584e-06,0.0,1.584e-06,1.584e-06,0.000595487,0.000595487,0.0,0,0,0,0,0,0,0,0
