frame.time_relative,frame.time_delta,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.stream,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset
0.000000000,0.000000000,58,127.0.0.1,127.0.0.1,41003,22,0,0,0,0,True,False,False,False
0.000022624,0.000022624,54,127.0.0.1,127.0.0.1,22,41003,0,0,1,1,False,True,False,True
0.000061832,0.000039208,58,127.0.0.1,127.0.0.1,41003,113,0,1,0,0,True,False,False,False
0.000066373,0.000004541,54,127.0.0.1,127.0.0.1,113,41003,0,1,1,1,False,True,False,True
0.000094706,0.000028333,58,127.0.0.1,127.0.0.1,41003,443,0,2,0,0,True,False,False,False
0.000104039,0.000009333,54,127.0.0.1,127.0.0.1,443,41003,0,2,1,1,False,True,False,True
0.000139580,0.000035541,58,127.0.0.1,127.0.0.1,41003,445,0,3,0,0,True,False,False,False
0.000149371,0.000009791,54,127.0.0.1,127.0.0.1,445,41003,0,3,1,1,False,True,False,True
0.000170454,0.000021083,58,127.0.0.1,127.0.0.1,41003,21,0,4,0,0,True,False,False,False
0.000174329,0.000003875,54,127.0.0.1,127.0.0.1,21,41003,0,4,1,1,False,True,False,True
0.000213662,0.000039333,58,127.0.0.1,127.0.0.1,41003,110,0,5,0,0,True,False,False,False
0.000217453,0.000003791,54,127.0.0.1,127.0.0.1,110,41003,0,5,1,1,False,True,False,True
0.000240619,0.000023166,58,127.0.0.1,127.0.0.1,41003,199,0,6,0,0,True,False,False,False
0.000244369,0.000003750,54,127.0.0.1,127.0.0.1,199,41003,0,6,1,1,False,True,False,True
0.000263661,0.000019292,58,127.0.0.1,127.0.0.1,41003,53,0,7,0,0,True,False,False,False
0.000267285,0.000003624,54,127.0.0.1,127.0.0.1,53,41003,0,7,1,1,False,True,False,True
0.000288952,0.000021667,58,127.0.0.1,127.0.0.1,41003,25,0,8,0,0,True,False,False,False
0.000300451,0.000011499,54,127.0.0.1,127.0.0.1,25,41003,0,8,1,1,False,True,False,True
0.000339492,0.000039041,58,127.0.0.1,127.0.0.1,41003,143,0,9,0,0,True,False,False,False
0.000343242,0.000003750,54,127.0.0.1,127.0.0.1,143,41003,0,9,1,1,False,True,False,True
0.000412657,0.000069415,58,127.0.0.1,127.0.0.1,41003,139,0,10,0,0,True,False,False,False
0.000416824,0.000004167,54,127.0.0.1,127.0.0.1,139,41003,0,10,1,1,False,True,False,True
0.000447615,0.000030791,58,127.0.0.1,127.0.0.1,41003,993,0,11,0,0,True,False,False,False
0.000451656,0.000004041,54,127.0.0.1,127.0.0.1,993,41003,0,11,1,1,False,True,False,True
0.000468531,0.000016875,58,127.0.0.1,127.0.0.1,41003,256,0,12,0,0,True,False,False,False
0.000472614,0.000004083,54,127.0.0.1,127.0.0.1,256,41003,0,12,1,1,False,True,False,True
0.000493322,0.000020708,58,127.0.0.1,127.0.0.1,41003,587,0,13,0,0,True,False,False,False
0.000502072,0.000008750,54,127.0.0.1,127.0.0.1,587,41003,0,13,1,1,False,True,False,True
0.000520697,0.000018625,58,127.0.0.1,127.0.0.1,41003,995,0,14,0,0,True,False,False,False
0.000532030,0.000011333,54,127.0.0.1,127.0.0.1,995,41003,0,14,1,1,False,True,False,True
0.000548279,0.000016249,58,127.0.0.1,127.0.0.1,41003,135,0,15,0,0,True,False,False,False
