frame.time_relative,frame.time_delta,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,udp.length
0.000000000,0.000000000,74,127.0.0.1,127.0.0.1,44898,8000,0x0002,
0.000038042,0.000038042,74,127.0.0.1,127.0.0.1,8000,44898,0x0012,
0.000056208,0.000018166,66,127.0.0.1,127.0.0.1,44898,8000,0x0010,
0.000174500,0.000118292,163,127.0.0.1,127.0.0.1,44898,8000,0x0018,
0.000181125,0.000006625,66,127.0.0.1,127.0.0.1,8000,44898,0x0010,
0.001883583,0.001702458,222,127.0.0.1,127.0.0.1,8000,44898,0x0018,
0.001921458,0.000037875,66,127.0.0.1,127.0.0.1,44898,8000,0x0010,
0.001963458,0.000042000,1711,127.0.0.1,127.0.0.1,8000,44898,0x0018,
0.001975208,0.000011750,66,127.0.0.1,127.0.0.1,44898,8000,0x0010,
0.002031417,0.000056209,66,127.0.0.1,127.0.0.1,8000,44898,0x0011,
0.002074375,0.000042958,66,127.0.0.1,127.0.0.1,44898,8000,0x0011,
0.002141458,0.000067083,66,127.0.0.1,127.0.0.1,8000,44898,0x0010,
0.011956375,0.009814917,74,127.0.0.1,127.0.0.1,44908,8000,0x0002,
0.011989917,0.000033542,74,127.0.0.1,127.0.0.1,8000,44908,0x0012,
0.012000833,0.000010916,66,127.0.0.1,127.0.0.1,44908,8000,0x0010,
0.012082792,0.000081959,163,127.0.0.1,127.0.0.1,44908,8000,0x0018,
0.012087083,0.000004291,66,127.0.0.1,127.0.0.1,8000,44908,0x0010,
0.013045000,0.000957917,222,127.0.0.1,127.0.0.1,8000,44908,0x0018,
0.013067333,0.000022333,66,127.0.0.1,127.0.0.1,44908,8000,0x0010,
0.013091625,0.000024292,1711,127.0.0.1,127.0.0.1,8000,44908,0x0018,
0.013095208,0.000003583,66,127.0.0.1,127.0.0.1,44908,8000,0x0010,
0.013121042,0.000025834,66,127.0.0.1,127.0.0.1,8000,44908,0x0011,
0.013240208,0.000119166,66,127.0.0.1,127.0.0.1,44908,8000,0x0011,
0.013256333,0.000016125,66,127.0.0.1,127.0.0.1,8000,44908,0x0010,
0.023066750,0.009810417,74,127.0.0.1,127.0.0.1,44910,8000,0x0002,
