flow_id,src_ip,src_port,dst_ip,dst_port,protocol,packet_count,bytes_total,bytes_mean,bytes_std,bytes_min,bytes_max,iat_mean,iat_std,iat_min,iat_max,first_seen,last_seen,duration,tcp_fin_count,tcp_syn_count,tcp_rst_count,tcp_psh_count,tcp_ack_count,tcp_urg_count,tcp_ece_count,tcp_cwr_count
127.0.0.1-46688-127.0.0.1-1720-tcp,127.0.0.1,46688,127.0.0.1,1720,tcp,1,58,58.0,0.0,58,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1720-127.0.0.1-46688-tcp,127.0.0.1,1720,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2.1458e-05,0.0,2.1458e-05,2.1458e-05,2.1458e-05,2.1458e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-21-tcp,127.0.0.1,46688,127.0.0.1,21,tcp,1,58,58.0,0.0,58,58,8.458e-06,0.0,8.458e-06,8.458e-06,2.9916e-05,2.9916e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-21-127.0.0.1-46688-tcp,127.0.0.1,21,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2.667e-06,0.0,2.667e-06,2.667e-06,3.2583e-05,3.2583e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-1723-tcp,127.0.0.1,46688,127.0.0.1,1723,tcp,1,58,58.0,0.0,58,58,5.208e-06,0.0,5.208e-06,5.208e-06,3.7791e-05,3.7791e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-1723-127.0.0.1-46688-tcp,127.0.0.1,1723,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2.584e-06,0.0,2.584e-06,2.584e-06,4.0375e-05,4.0375e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-995-tcp,127.0.0.1,46688,127.0.0.1,995,tcp,1,58,58.0,0.0,58,58,5.375e-06,0.0,5.375e-06,5.375e-06,4.575e-05,4.575e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-995-127.0.0.1-46688-tcp,127.0.0.1,995,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,2.041e-06,0.0,2.041e-06,2.041e-06,4.7791e-05,4.7791e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-46688-127.0.0.1-25-tcp,127.0.0.1,46688,127.0.0.1,25,tcp,1,58,58.0,0.0,58,58,4.875e-06,0.0,4.875e-06,4.875e-06,5.2666e-05,5.2666e-05,0.0,0,0,0,0,0,0,0,0
127.0.0.1-25-127.0.0.1-46688-tcp,127.0.0.1,25,127.0.0.1,46688,tcp,1,54,54.0,0.0,54,54,1.959e-06,0.0,1.959e-06,1.959e-06,5.4625e-05,5.4625e-05,0.0,0,0,0,0,0,0,0,0
