frame.time_relative,frame.time_delta,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len,tcp.stream,tcp.seq,tcp.ack,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset
0.000000000,0.000000000,58,127.0.0.1,127.0.0.1,46688,1720,0,0,0,0,True,False,False,False
0.000021458,0.000021458,54,127.0.0.1,127.0.0.1,1720,46688,0,0,1,1,False,True,False,True
0.000029916,0.000008458,58,127.0.0.1,127.0.0.1,46688,21,0,1,0,0,True,False,False,False
0.000032583,0.000002667,54,127.0.0.1,127.0.0.1,21,46688,0,1,1,1,False,True,False,True
0.000037791,0.000005208,58,127.0.0.1,127.0.0.1,46688,1723,0,2,0,0,True,False,False,False
0.000040375,0.000002584,54,127.0.0.1,127.0.0.1,1723,46688,0,2,1,1,False,True,False,True
0.000045750,0.000005375,58,127.0.0.1,127.0.0.1,46688,995,0,3,0,0,True,False,False,False
0.000047791,0.000002041,54,127.0.0.1,127.0.0.1,995,46688,0,3,1,1,False,True,False,True
0.000052666,0.000004875,58,127.0.0.1,127.0.0.1,46688,25,0,4,0,0,True,False,False,False
0.000054625,0.000001959,54,127.0.0.1,127.0.0.1,25,46688,0,4,1,1,False,True,False,True
0.000060125,0.000005500,58,127.0.0.1,127.0.0.1,46688,256,0,5,0,0,True,False,False,False
0.000062333,0.000002208,54,127.0.0.1,127.0.0.1,256,46688,0,5,1,1,False,True,False,True
0.000067708,0.000005375,58,127.0.0.1,127.0.0.1,46688,22,0,6,0,0,True,False,False,False
0.000069833,0.000002125,54,127.0.0.1,127.0.0.1,22,46688,0,6,1,1,False,True,False,True
0.000074250,0.000004417,58,127.0.0.1,127.0.0.1,46688,80,0,7,0,0,True,False,False,False
0.000076541,0.000002291,54,127.0.0.1,127.0.0.1,80,46688,0,7,1,1,False,True,False,True
0.000081625,0.000005084,58,127.0.0.1,127.0.0.1,46688,53,0,8,0,0,True,False,False,False
0.000083625,0.000002000,54,127.0.0.1,127.0.0.1,53,46688,0,8,1,1,False,True,False,True
0.000087916,0.000004291,58,127.0.0.1,127.0.0.1,46688,143,0,9,0,0,True,False,False,False
0.000089875,0.000001959,54,127.0.0.1,127.0.0.1,143,46688,0,9,1,1,False,True,False,True
0.000147250,0.000057375,58,127.0.0.1,127.0.0.1,46688,445,0,10,0,0,True,False,False,False
0.000149916,0.000002666,54,127.0.0.1,127.0.0.1,445,46688,0,10,1,1,False,True,False,True
0.000154750,0.000004834,58,127.0.0.1,127.0.0.1,46688,135,0,11,0,0,True,False,False,False
0.000156958,0.000002208,54,127.0.0.1,127.0.0.1,135,46688,0,11,1,1,False,True,False,True
0.000162458,0.000005500,58,127.0.0.1,127.0.0.1,46688,993,0,12,0,0,True,False,False,False
0.000164875,0.000002417,54,127.0.0.1,127.0.0.1,993,46688,0,12,1,1,False,True,False,True
0.000169708,0.000004833,58,127.0.0.1,127.0.0.1,46688,199,0,13,0,0,True,False,False,False
0.000171916,0.000002208,54,127.0.0.1,127.0.0.1,199,46688,0,13,1,1,False,True,False,True
0.000176166,0.000004250,58,127.0.0.1,127.0.0.1,46688,554,0,14,0,0,True,False,False,False
0.000178250,0.000002084,54,127.0.0.1,127.0.0.1,554,46688,0,14,1,1,False,True,False,True
0.000182458,0.000004208,58,127.0.0.1,127.0.0.1,46688,111,0,15,0,0,True,False,False,False
0.000184375,0.000001917,54,127.0.0.1,127.0.0.1,111,46688,0,15,1,1,False,True,False,True
0.000188666,0.000004291,58,127.0.0.1,127.0.0.1,46688,23,0,16,0,0,True,False,False,False
0.000190833,0.000002167,54,127.0.0.1,127.0.0.1,23,46688,0,16,1,1,False,True,False,True
0.000196708,0.000005875,58,127.0.0.1,127.0.0.1,46688,113,0,17,0,0,True,False,False,False
0.000198583,0.000001875,54,127.0.0.1,127.0.0.1,113,46688,0,17,1,1,False,True,False,True
0.000202875,0.000004292,58,127.0.0.1,127.0.0.1,46688,1025,0,18,0,0,True,False,False,False
0.000205000,0.000002125,54,127.0.0.1,127.0.0.1,1025,46688,0,18,1,1,False,True,False,True
0.000208666,0.000003666,58,127.0.0.1,127.0.0.1,46688,110,0,19,0,0,True,False,False,False
0.000210625,0.000001959,54,127.0.0.1,127.0.0.1,110,46688,0,19,1,1,False,True,False,True
0.000215083,0.000004458,58,127.0.0.1,127.0.0.1,46688,443,0,20,0,0,True,False,False,False
0.000216958,0.000001875,54,127.0.0.1,127.0.0.1,443,46688,0,20,1,1,False,True,False,True
0.000221125,0.000004167,58,127.0.0.1,127.0.0.1,46688,139,0,21,0,0,True,False,False,False
0.000223458,0.000002333,54,127.0.0.1,127.0.0.1,139,46688,0,21,1,1,False,True,False,True
0.000227583,0.000004125,58,127.0.0.1,127.0.0.1,46688,587,0,22,0,0,True,False,False,False
0.000229333,0.000001750,54,127.0.0.1,127.0.0.1,587,46688,0,22,1,1,False,True,False,True
0.000233375,0.000004042,58,127.0.0.1,127.0.0.1,46688,536,0,23,0,0,True,False,False,False
0.000235500,0.000002125,54,127.0.0.1,127.0.0.1,536,46688,0,23,1,1,False,True,False,True
0.000239875,0.000004375,58,127.0.0.1,127.0.0.1,46688,1074,0,24,0,0,True,False,False,False
0.000241750,0.000001875,54,127.0.0.1,127.0.0.1,1074,46688,0,24,1,1,False,True,False,True
0.000245833,0.000004083,58,127.0.0.1,127.0.0.1,46688,907,0,25,0,0,True,False,False,False
0.000247750,0.000001917,54,127.0.0.1,127.0.0.1,907,46688,0,25,1,1,False,True,False,True
0.000252250,0.000004500,58,127.0.0.1,127.0.0.1,46688,1482,0,26,0,0,True,False,False,False
0.000254208,0.000001958,54,127.0.0.1,127.0.0.1,1482,46688,0,26,1,1,False,True,False,True
0.000258291,0.000004083,58,127.0.0.1,127.0.0.1,46688,1821,0,27,0,0,True,False,False,False
0.000261250,0.000002959,54,127.0.0.1,127.0.0.1,1821,46688,0,27,1,1,False,True,False,True
0.000265291,0.000004041,58,127.0.0.1,127.0.0.1,46688,54,0,28,0,0,True,False,False,False
0.000267166,0.000001875,54,127.0.0.1,127.0.0.1,54,46688,0,28,1,1,False,True,False,True
0.000271666,0.000004500,58,127.0.0.1,127.0.0.1,46688,1111,0,29,0,0,True,False,False,False
0.000273875,0.000002209,54,127.0.0.1,127.0.0.1,1111,46688,0,29,1,1,False,True,False,True
0.000343041,0.000069166,58,127.0.0.1,127.0.0.1,46688,1544,0,30,0,0,True,False,False,False
0.000357833,0.000014792,54,127.0.0.1,127.0.0.1,1544,46688,0,30,1,1,False,True,False,True
0.000363291,0.000005458,58,127.0.0.1,127.0.0.1,46688,876,0,31,0,0,True,False,False,False
0.000365583,0.000002292,54,127.0.0.1,127.0.0.1,876,46688,0,31,1,1,False,True,False,True
0.000369958,0.000004375,58,127.0.0.1,127.0.0.1,46688,356,0,32,0,0,True,False,False,False
0.000372250,0.000002292,54,127.0.0.1,127.0.0.1,356,46688,0,32,1,1,False,True,False,True
0.000376708,0.000004458,58,127.0.0.1,127.0.0.1,46688,1829,0,33,0,0,True,False,False,False
0.000379416,0.000002708,54,127.0.0.1,127.0.0.1,1829,46688,0,33,1,1,False,True,False,True
0.000384166,0.000004750,58,127.0.0.1,127.0.0.1,46688,792,0,34,0,0,True,False,False,False
0.000386500,0.000002334,54,127.0.0.1,127.0.0.1,792,46688,0,34,1,1,False,True,False,True
0.000391458,0.000004958,58,127.0.0.1,127.0.0.1,46688,354,0,35,0,0,True,False,False,False
0.000393541,0.000002083,54,127.0.0.1,127.0.0.1,354,46688,0,35,1,1,False,True,False,True
0.000397500,0.000003959,58,127.0.0.1,127.0.0.1,46688,355,0,36,0,0,True,False,False,False
0.000399791,0.000002291,54,127.0.0.1,127.0.0.1,355,46688,0,36,1,1,False,True,False,True
0.000404291,0.000004500,58,127.0.0.1,127.0.0.1,46688,609,0,37,0,0,True,False,False,False
0.000406208,0.000001917,54,127.0.0.1,127.0.0.1,609,46688,0,37,1,1,False,True,False,True
0.000410916,0.000004708,58,127.0.0.1,127.0.0.1,46688,1342,0,38,0,0,True,False,False,False
0.000413250,0.000002334,54,127.0.0.1,127.0.0.1,1342,46688,0,38,1,1,False,True,False,True
0.000417208,0.000003958,58,127.0.0.1,127.0.0.1,46688,1026,0,39,0,0,True,False,False,False
0.000419125,0.000001917,54,127.0.0.1,127.0.0.1,1026,46688,0,39,1,1,False,True,False,True
0.000423333,0.000004208,58,127.0.0.1,127.0.0.1,46688,564,0,40,0,0,True,False,False,False
0.000425416,0.000002083,54,127.0.0.1,127.0.0.1,564,46688,0,40,1,1,False,True,False,True
0.000429333,0.000003917,58,127.0.0.1,127.0.0.1,46688,1312,0,41,0,0,True,False,False,False
0.000431541,0.000002208,54,127.0.0.1,127.0.0.1,1312,46688,0,41,1,1,False,True,False,True
0.000435541,0.000004000,58,127.0.0.1,127.0.0.1,46688,1161,0,42,0,0,True,False,False,False
0.000437541,0.000002000,54,127.0.0.1,127.0.0.1,1161,46688,0,42,1,1,False,True,False,True
0.000441625,0.000004084,58,127.0.0.1,127.0.0.1,46688,953,0,43,0,0,True,False,False,False
0.000443541,0.000001916,54,127.0.0.1,127.0.0.1,953,46688,0,43,1,1,False,True,False,True
0.000447666,0.000004125,58,127.0.0.1,127.0.0.1,46688,520,0,44,0,0,True,False,False,False
0.000449541,0.000001875,54,127.0.0.1,127.0.0.1,520,46688,0,44,1,1,False,True,False,True
0.000454916,0.000005375,58,127.0.0.1,127.0.0.1,46688,570,0,45,0,0,True,False,False,False
0.000456708,0.000001792,54,127.0.0.1,127.0.0.1,570,46688,0,45,1,1,False,True,False,True
0.000460333,0.000003625,58,127.0.0.1,127.0.0.1,46688,1290,0,46,0,0,True,False,False,False
0.000462291,0.000001958,54,127.0.0.1,127.0.0.1,1290,46688,0,46,1,1,False,True,False,True
0.000466166,0.000003875,58,127.0.0.1,127.0.0.1,46688,1041,0,47,0,0,True,False,False,False
0.000468041,0.000001875,54,127.0.0.1,127.0.0.1,1041,46688,0,47,1,1,False,True,False,True
0.000471791,0.000003750,58,127.0.0.1,127.0.0.1,46688,552,0,48,0,0,True,False,False,False
0.000473416,0.000001625,54,127.0.0.1,127.0.0.1,552,46688,0,48,1,1,False,True,False,True
0.000477750,0.000004334,58,127.0.0.1,127.0.0.1,46688,464,0,49,0,0,True,False,False,False
0.000479833,0.000002083,54,127.0.0.1,127.0.0.1,464,46688,0,49,1,1,False,True,False,True
0.000484208,0.000004375,58,127.0.0.1,127.0.0.1,46688,1087,0,50,0,0,True,False,False,False
0.000486416,0.000002208,54,127.0.0.1,127.0.0.1,1087,46688,0,50,1,1,False,True,False,True
0.000491000,0.000004584,58,127.0.0.1,127.0.0.1,46688,586,0,51,0,0,True,False,False,False
0.000492958,0.000001958,54,127.0.0.1,127.0.0.1,586,46688,0,51,1,1,False,True,False,True
0.000497083,0.000004125,58,127.0.0.1,127.0.0.1,46688,974,0,52,0,0,True,False,False,False
0.000499208,0.000002125,54,127.0.0.1,127.0.0.1,974,46688,0,52,1,1,False,True,False,True
0.000503666,0.000004458,58,127.0.0.1,127.0.0.1,46688,1867,0,53,0,0,True,False,False,False
0.000505500,0.000001834,54,127.0.0.1,127.0.0.1,1867,46688,0,53,1,1,False,True,False,True
0.000509916,0.000004416,58,127.0.0.1,127.0.0.1,46688,1746,0,54,0,0,True,False,False,False
0.000512333,0.000002417,54,127.0.0.1,127.0.0.1,1746,46688,0,54,1,1,False,True,False,True
0.000516458,0.000004125,58,127.0.0.1,127.0.0.1,46688,1039,0,55,0,0,True,False,False,False
0.000518250,0.000001792,54,127.0.0.1,127.0.0.1,1039,46688,0,55,1,1,False,True,False,True
0.000522958,0.000004708,58,127.0.0.1,127.0.0.1,46688,878,0,56,0,0,True,False,False,False
0.000525083,0.000002125,54,127.0.0.1,127.0.0.1,878,46688,0,56,1,1,False,True,False,True
0.000529541,0.000004458,58,127.0.0.1,127.0.0.1,46688,1533,0,57,0,0,True,False,False,False
0.000531625,0.000002084,54,127.0.0.1,127.0.0.1,1533,46688,0,57,1,1,False,True,False,True
0.000536333,0.000004708,58,127.0.0.1,127.0.0.1,46688,1227,0,58,0,0,True,False,False,False
0.000537958,0.000001625,54,127.0.0.1,127.0.0.1,1227,46688,0,58,1,1,False,True,False,True
0.000542166,0.000004208,58,127.0.0.1,127.0.0.1,46688,449,0,59,0,0,True,False,False,False
0.000543875,0.000001709,54,127.0.0.1,127.0.0.1,449,46688,0,59,1,1,False,True,False,True
0.000547916,0.000004041,58,127.0.0.1,127.0.0.1,46688,104,0,60,0,0,True,False,False,False
0.000549541,0.000001625,54,127.0.0.1,127.0.0.1,104,46688,0,60,1,1,False,True,False,True
0.000554208,0.000004667,58,127.0.0.1,127.0.0.1,46688,1496,0,61,0,0,True,False,False,False
0.000556208,0.000002000,54,127.0.0.1,127.0.0.1,1496,46688,0,61,1,1,False,True,False,True
0.000559375,0.000003167,58,127.0.0.1,127.0.0.1,46688,967,0,62,0,0,True,False,False,False
0.000561041,0.000001666,54,127.0.0.1,127.0.0.1,967,46688,0,62,1,1,False,True,False,True
0.000564916,0.000003875,58,127.0.0.1,127.0.0.1,46688,1191,0,63,0,0,True,False,False,False
0.000567000,0.000002084,54,127.0.0.1,127.0.0.1,1191,46688,0,63,1,1,False,True,False,True
0.000571000,0.000004000,58,127.0.0.1,127.0.0.1,46688,1084,0,64,0,0,True,False,False,False
0.000572875,0.000001875,54,127.0.0.1,127.0.0.1,1084,46688,0,64,1,1,False,True,False,True
